contract_id,contract_name,address,file_path,compiler_version,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,failure_reason,error_message
2,DSToken,0x9f8F72aA00000000000000000000000000000000,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/DSToken_0x9f8F72aA.sol,,True,False,False,False,0,2,24,14,0,3,0,3,0,,
3,OrderToken,0xabd4c63d00000000000000000000000000000000,blockchain/contracts/collected/OrderToken_0xabd4c63d,,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts/token/ERC20/ERC20.sol"" not found: File not found. Searched the following locations: """".
 --> blockchain/contracts/collected/OrderToken_0xabd4c63d/OrderToken.sol:3:1:
  |
3 | import { ERC20 } from ""@openzeppelin/contracts/token/ERC20/ERC20.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

"
4,SynapseERC20,0x0f2d719400000000000000000000000000000000,blockchain/contracts/collected/SynapseERC20_0x0f2d7194,,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts-upgradeable/token/ERC20/ERC20Upgradeable.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SynapseERC20_0x0f2d7194/SynapseERC20.sol:4:1:
  |
4 | import '@openzeppelin/contracts-upgradeable/token/ERC20/ERC20Upgradeable.sol';
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts-upgradeable/token/ERC20/ERC20BurnableUpgradeable.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SynapseERC20_0x0f2d7194/SynapseERC20.sol:5:1:
  |
5 | import '@openzeppelin/contracts-upgradeable/token/ERC20/ERC20BurnableUpgradeable.sol';
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts-upgradeable/drafts/ERC20PermitUpgradeable.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SynapseERC20_0x0f2d7194/SynapseERC20.sol:6:1:
  |
6 | import '@openzeppelin/contracts-upgradeable/drafts/ERC20PermitUpgradeable.sol';
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts-upgradeable/access/AccessControlUpgradeable.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SynapseERC20_0x0f2d7194/SynapseERC20.sol:7:1:
  |
7 | import '@openzeppelin/contracts-upgradeable/access/AccessControlUpgradeable.sol';
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts-upgradeable/proxy/Initializable.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SynapseERC20_0x0f2d7194/SynapseERC20.sol:8:1:
  |
8 | import '@openzeppelin/contracts-upgrad"
5,Uni,0x1f9840a800000000000000000000000000000000,blockchain/contracts/collected/Uni_0x1f9840a8.sol,,False,False,True,False,0,1,15,24,10,17,0,14,0,,
6,DCHFToken,0x045da4bF00000000000000000000000000000000,blockchain/contracts/collected/DCHFToken_0x045da4bF,,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts/utils/math/SafeMath.sol"" not found: File not found. Searched the following locations: """".
 --> blockchain/contracts/collected/DCHFToken_0x045da4bF/DCHFToken.sol:4:1:
  |
4 | import ""@openzeppelin/contracts/utils/math/SafeMath.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts/access/Ownable.sol"" not found: File not found. Searched the following locations: """".
 --> blockchain/contracts/collected/DCHFToken_0x045da4bF/DCHFToken.sol:5:1:
  |
5 | import ""@openzeppelin/contracts/access/Ownable.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""blockchain/contracts/collected/DCHFToken_0x045da4bF/Dependencies/CheckContract.sol"" not found: File not found. Searched the following locations: """".
 --> blockchain/contracts/collected/DCHFToken_0x045da4bF/DCHFToken.sol:7:1:
  |
7 | import ""./Dependencies/CheckContract.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""blockchain/contracts/collected/DCHFToken_0x045da4bF/Interfaces/IDCHFToken.sol"" not found: File not found. Searched the following locations: """".
 --> blockchain/contracts/collected/DCHFToken_0x045da4bF/DCHFToken.sol:8:1:
  |
8 | import ""./Interfaces/IDCHFToken.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

"
7,SDAO,0xc20059e000000000000000000000000000000000,blockchain/contracts/collected/SDAO_0xc20059e0,,False,False,True,True,0,0,7,15,8,12,1,7,1,,
8,GearToken,0xba33355800000000000000000000000000000000,blockchain/contracts/collected/GearToken_0xba333558,,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts/math/SafeMath.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/GearToken_0xba333558/GearToken.sol:4:1:
  |
4 | import {SafeMath} from ""@openzeppelin/contracts/math/SafeMath.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

"
9,SmartToken,0x1f573d6f00000000000000000000000000000000,blockchain/contracts/collected/SmartToken_0x1f573d6f.sol,,False,False,False,False,0,0,47,7,0,2,1,3,0,,
10,MarsToken,0x66C0DDEd00000000000000000000000000000000,blockchain/contracts/collected/MarsToken_0x66C0DDEd.sol,,False,False,True,False,0,1,16,12,11,6,0,14,0,,
11,ObolToken,0x0b01000000000000000000000000000000000000,blockchain/contracts/collected/ObolToken_0x0b010000,,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts/token/ERC20/ERC20.sol"" not found: File not found. Searched the following locations: """".
  --> blockchain/contracts/collected/ObolToken_0x0b010000/ObolToken.sol:34:1:
   |
34 | import ""@openzeppelin/contracts/token/ERC20/ERC20.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts/access/AccessControl.sol"" not found: File not found. Searched the following locations: """".
  --> blockchain/contracts/collected/ObolToken_0x0b010000/ObolToken.sol:35:1:
   |
35 | import ""@openzeppelin/contracts/access/AccessControl.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts/token/ERC20/extensions/draft-ERC20Permit.sol"" not found: File not found. Searched the following locations: """".
  --> blockchain/contracts/collected/ObolToken_0x0b010000/ObolToken.sol:36:1:
   |
36 | import ""@openzeppelin/contracts/token/ERC20/extensions/draft-ERC20Permit.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""@openzeppelin/contracts/token/ERC20/extensions/ERC20Votes.sol"" not found: File not found. Searched the following locations: """".
  --> blockchain/contracts/collected/ObolToken_0x0b010000/ObolToken.sol:37:1:
   |
37 | import ""@openzeppelin/contracts/token/ERC20/extensions/ERC20Votes.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""blockchain/contracts/collected/ObolToken_0x0b010000/lib/IENSReverseRegistrar.sol"" not found: File not found. Searched the following locations: """".
  --> blockchain/contracts/collected/ObolToken_0x0b010000/ObolToken.sol:38:1:
   |
38 | import ""./lib/IENSReverseRegistrar.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

"
12,PENDLE,0x8085071200000000000000000000000000000000,blockchain/contracts/collected/PENDLE_0x80850712,,True,False,True,True,0,2,48,28,19,31,0,14,0,,
13,SolidlyProxy,0x777172D800000000000000000000000000000000,blockchain/contracts/collected/SolidlyProxy_0x777172D8,,False,False,False,False,0,1,16,15,0,4,2,3,0,,
14,MiniMeToken,0x6C16119B00000000000000000000000000000000,blockchain/contracts/collected/MiniMeToken_0x6C16119B.sol,,True,False,False,False,1,2,55,22,12,12,0,12,0,,
15,ERC677MultiBridgeToken,0x0Ae0550900000000000000000000000000000000,blockchain/contracts/collected/ERC677MultiBridgeToken_0x0Ae05509.sol,,True,False,True,True,0,0,63,6,4,4,0,4,0,,
16,Proxy,0x7712c34200000000000000000000000000000000,blockchain/contracts/collected/Proxy_0x7712c342.sol,,False,False,False,False,0,0,7,4,0,2,1,3,0,,
17,GeyserToken,0xbEa98c0500000000000000000000000000000000,blockchain/contracts/collected/GeyserToken_0xbEa98c05.sol,,False,False,False,True,1,0,33,2,0,2,0,1,0,,
